uf,cod_municipio,municipio,esf,equipes,populacao,equipes_por_100mil,cobertura_pct
MT,510250,CÁCERES,18.0,29.0,91767.0,31.6,100.11
MT,510345,DENISE,3.0,3.0,6675.0,44.9,157.3
MT,510350,DIAMANTINO,10.0,11.0,22623.0,48.6,166.31
MT,510360,DOM AQUINO,4.0,4.0,7890.0,50.7,177.43
MT,510370,FELIZ NATAL,3.0,3.0,10523.0,28.5,99.78
MT,510380,FIGUEIRÓPOLIS D'OESTE,1.0,1.0,3056.0,32.7,114.52
MT,510385,GAÚCHA DO NORTE,2.0,2.0,9397.0,21.3,74.49
MT,510390,GENERAL CARNEIRO,2.0,2.0,6319.0,31.7,110.77
MT,510395,GLÓRIA D'OESTE,2.0,2.0,2878.0,69.5,243.22
MT,510410,GUARANTÃ DO NORTE,9.0,9.0,31209.0,28.8,100.93
MT,510420,GUIRATINGA,5.0,5.0,10252.0,48.8,170.69
MT,510450,INDIAVAÍ,1.0,1.0,2172.0,46.0,161.14
MT,510452,IPIRANGA DO NORTE,3.0,3.0,8658.0,34.7,121.27
MT,510454,ITANHANGÁ,3.0,3.0,8257.0,36.3,127.16
MT,510455,ITAÚBA,1.0,1.0,5201.0,19.2,67.29
MT,510460,ITIQUIRA,5.0,5.0,12587.0,39.7,139.03
MT,510480,JACIARA,8.0,9.0,29803.0,30.2,102.75
MT,510490,JANGADA,4.0,4.0,7413.0,54.0,188.85
MT,510500,JAURU,3.0,4.0,7881.0,50.8,166.53
MT,510510,JUARA,9.0,9.0,36089.0,24.9,87.28
MT,510517,JURUENA,3.0,3.0,10057.0,29.8,104.4
MT,510520,JUSCIMEIRA,5.0,5.0,11622.0,43.0,150.57
MT,510515,JUÍNA,12.0,12.0,48396.0,24.8,86.78
MT,510523,LAMBARI D'OESTE,2.0,2.0,4662.0,42.9,150.15
MT,510525,LUCAS DO RIO VERDE,25.0,27.0,95792.0,28.2,94.99
MT,510530,LUCIARA,1.0,1.0,2616.0,38.2,133.79
MT,510558,MARCELÂNDIA,4.0,4.0,11355.0,35.2,123.29
MT,510560,MATUPÁ,7.0,7.0,21959.0,31.9,111.57
MT,510562,MIRASSOL D'OESTE,7.0,7.0,27637.0,25.3,88.64
MT,510590,NOBRES,6.0,6.0,15796.0,38.0,132.94
MT,510600,NORTELÂNDIA,3.0,3.0,5890.0,50.9,178.26
MT,510610,NOSSA SENHORA DO LIVRAMENTO,4.0,5.0,11658.0,42.9,142.6
MT,510615,NOVA BANDEIRANTES,6.0,6.0,14340.0,41.8,146.44
MT,510620,NOVA BRASILÂNDIA,2.0,2.0,3791.0,52.8,184.64
MT,510621,NOVA CANAÃ DO NORTE,5.0,5.0,11734.0,42.6,149.13
MT,510880,NOVA GUARITA,2.0,2.0,4546.0,44.0,153.98
MT,510618,NOVA LACERDA,3.0,3.0,7072.0,42.4,148.47
MT,510885,NOVA MARILÂNDIA,1.0,1.0,3731.0,26.8,93.8
MT,510890,NOVA MARINGÁ,3.0,3.0,5705.0,52.6,184.04
MT,510895,NOVA MONTE VERDE,3.0,3.0,8470.0,35.4,123.96
MT,510622,NOVA MUTUM,15.0,16.0,63455.0,25.2,86.87
MT,510617,NOVA NAZARÉ,2.0,2.0,4575.0,43.7,153.0
MT,510623,NOVA OLÍMPIA,5.0,5.0,16204.0,30.9,107.99
MT,510619,NOVA SANTA HELENA,2.0,2.0,4502.0,44.4,155.48
MT,510624,NOVA UBIRATÃ,4.0,5.0,9760.0,51.2,170.33
MT,510625,NOVA XAVANTINA,7.0,7.0,25915.0,27.0,94.53
MT,510627,NOVO HORIZONTE DO NORTE,2.0,2.0,3267.0,61.2,214.26
MT,510626,NOVO MUNDO,4.0,4.0,6368.0,62.8,219.84
MT,510631,NOVO SANTO ANTÔNIO,1.0,1.0,2041.0,49.0,171.48
MT,510628,NOVO SÃO JOAQUIM,3.0,3.0,7239.0,41.4,145.04
MT,510630,PARANATINGA,7.0,7.0,28870.0,24.2,84.86
MT,510629,PARANAÍTA,5.0,5.0,12079.0,41.4,144.87
MT,510637,PEDRA PRETA,6.0,6.0,18946.0,31.7,110.84
MT,510642,PEIXOTO DE AZEVEDO,9.0,9.0,33754.0,26.7,93.32
MT,510645,PLANALTO DA SERRA,1.0,1.0,3328.0,30.0,105.16
MT,510650,POCONÉ,9.0,9.0,31203.0,28.8,100.95
MT,510665,PONTAL DO ARAGUAIA,3.0,4.0,7441.0,53.8,176.38
MT,510670,PONTE BRANCA,1.0,1.0,2098.0,47.7,166.82
