uf,ano,cnae,cnae_nome,tabela,unidades_locais,empresas,pessoal_ocupado_3112,valor_bruto_prod_ind_mil_rs,valor_transf_ind_mil_rs,receita_liquida_vendas_mil_rs,salarios_remuneracoes_mil_rs
TO,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,8.0,,346.0,132752.0,26805.0,116600.0,
TO,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,8.0,7.0,,,,,
AC,2023,117007,16 Fabricação de produtos de madeira,1849,20.0,,912.0,116957.0,79801.0,114643.0,
AC,2024,117007,16 Fabricação de produtos de madeira,10457,20.0,20.0,791.0,102029.0,60484.0,108971.0,
AM,2023,117007,16 Fabricação de produtos de madeira,1849,27.0,,581.0,126919.0,71466.0,136295.0,
AM,2024,117007,16 Fabricação de produtos de madeira,10457,22.0,21.0,787.0,125140.0,69312.0,126062.0,
AP,2023,117007,16 Fabricação de produtos de madeira,1849,8.0,,1035.0,402434.0,228479.0,421057.0,
AP,2024,117007,16 Fabricação de produtos de madeira,10457,12.0,12.0,,,,,
MA,2023,117007,16 Fabricação de produtos de madeira,1849,7.0,,124.0,7402.0,5207.0,7464.0,
MA,2024,117007,16 Fabricação de produtos de madeira,10457,10.0,10.0,128.0,11230.0,7345.0,11161.0,
MT,2023,117007,16 Fabricação de produtos de madeira,1849,538.0,,8205.0,1391200.0,822128.0,1547374.0,
MT,2024,117007,16 Fabricação de produtos de madeira,10457,430.0,413.0,7892.0,1538347.0,1083155.0,1569642.0,
PA,2023,117007,16 Fabricação de produtos de madeira,1849,227.0,,9964.0,2444823.0,970296.0,2420171.0,
PA,2024,117007,16 Fabricação de produtos de madeira,10457,220.0,207.0,8562.0,2564306.0,1116716.0,2448047.0,
RO,2023,117007,16 Fabricação de produtos de madeira,1849,219.0,,3922.0,541486.0,284883.0,561424.0,
RO,2024,117007,16 Fabricação de produtos de madeira,10457,184.0,181.0,3428.0,434476.0,202029.0,460105.0,
RR,2023,117007,16 Fabricação de produtos de madeira,1849,17.0,,235.0,26395.0,14793.0,27923.0,
RR,2024,117007,16 Fabricação de produtos de madeira,10457,15.0,15.0,204.0,26955.0,20172.0,27450.0,
TO,2023,117007,16 Fabricação de produtos de madeira,1849,11.0,,128.0,21882.0,12643.0,24574.0,
TO,2024,117007,16 Fabricação de produtos de madeira,10457,12.0,12.0,168.0,53331.0,43792.0,53991.0,
AC,2023,117015,"17 Fabricação de celulose, papel e produtos de papel",1849,,,,,,,
AC,2024,117015,"17 Fabricação de celulose, papel e produtos de papel",10457,2.0,2.0,,,,,
AM,2023,117015,"17 Fabricação de celulose, papel e produtos de papel",1849,49.0,,3023.0,1407401.0,553232.0,1416202.0,
AM,2024,117015,"17 Fabricação de celulose, papel e produtos de papel",10457,50.0,49.0,3193.0,1715547.0,814472.0,1738346.0,
AP,2023,117015,"17 Fabricação de celulose, papel e produtos de papel",1849,,,,,,,
AP,2024,117015,"17 Fabricação de celulose, papel e produtos de papel",10457,,,,,,,
MA,2023,117015,"17 Fabricação de celulose, papel e produtos de papel",1849,15.0,,1558.0,4181029.0,2490241.0,3796850.0,
MA,2024,117015,"17 Fabricação de celulose, papel e produtos de papel",10457,15.0,8.0,,,,,
MT,2023,117015,"17 Fabricação de celulose, papel e produtos de papel",1849,19.0,,222.0,58897.0,27104.0,59091.0,
MT,2024,117015,"17 Fabricação de celulose, papel e produtos de papel",10457,13.0,13.0,190.0,57377.0,22573.0,58092.0,
PA,2023,117015,"17 Fabricação de celulose, papel e produtos de papel",1849,24.0,,981.0,560946.0,428397.0,514683.0,
PA,2024,117015,"17 Fabricação de celulose, papel e produtos de papel",10457,29.0,15.0,,,,,
RO,2023,117015,"17 Fabricação de celulose, papel e produtos de papel",1849,7.0,,79.0,19392.0,9458.0,19489.0,
RO,2024,117015,"17 Fabricação de celulose, papel e produtos de papel",10457,11.0,11.0,106.0,24822.0,7883.0,24951.0,
RR,2023,117015,"17 Fabricação de celulose, papel e produtos de papel",1849,1.0,,,,,,
RR,2024,117015,"17 Fabricação de celulose, papel e produtos de papel",10457,1.0,1.0,,,,,
